team_full,team,team_city
atlanta-hawks,ATL,Atlanta
boston-celtics,BOS,Boston
brooklyn-nets,BKN,Brooklyn
charlotte-hornets,CHA,Charlotte
chicago-bulls,CHI,Chicago
cleveland-cavaliers,CLE,Cleveland
dallas-mavericks,DAL,Dallas
denver-nuggets,DEN,Denver
detroit-pistons,DET,Detroit
golden-state-warriors,GSW,Golden State
houston-rockets,HOU,Houston
indiana-pacers,IND,Indiana
los-angeles-clippers,LAC,LA Clippers
los-angeles-lakers,LAL,LA Lakers
memphis-grizzlies,MEM,Memphis
miami-heat,MIA,Miami
milwaukee-bucks,MIL,Milwaukee
minnesota-timberwolves,MIN,Minnesota
new-orleans-pelicans,NOR,New Orleans
new-york-knicks,NYK,New York
oklahoma-city-thunder,OKC,Okla City
orlando-magic,ORL,Orlando
philadelphia-76ers,PHI,Philadelphia
phoenix-suns,PHO,Phoenix
portland-trail-blazers,POR,Portland
sacramento-kings,SAC,Sacramento
san-antonio-spurs,SAS,San Antonio
toronto-raptors,TOR,Toronto
utah-jazz,UTA,Utah
washington-wizards,WAS,Washington
